================================================================================
#15 SMC + RTM Compression Filter — Backtest Log
================================================================================
Period: 2025-08-01 to 2026-02-07
Compression: lookback=8, min_score=40

Compression Filter: 1239 blocked, 566 passed (68.6% filtered)
Avg Compression Score: 30.4

Trades: 566 | WR: 71.0% | Net: $908.07
PF: 1.32 | DD: 5.5% | Sharpe: 1.46
Avg Win: $9.33 | Avg Loss: $17.34
vs Baseline: $-541.79

--- TRADE LOG ---
   #       Entry Time  Dir      Entry       Exit   P/L($) Result        Exit Reason CmpScore
--------------------------------------------------------------------------------------------------------------
   1 2025-08-01 01:00 SELL    3291.19    3286.50     4.69    WIN     breakeven_exit     60.0
   2 2025-08-01 07:45  BUY    3292.01    3294.01     2.00    WIN     breakeven_exit     50.0
   3 2025-08-01 12:45 SELL    3294.33    3338.92   -89.18   LOSS          early_cut     50.0
   4 2025-08-01 18:15  BUY    3349.39    3350.73     1.34    WIN      weekend_close     70.0
   5 2025-08-04 02:00  BUY    3358.19    3360.19     2.00    WIN     breakeven_exit     70.0
   6 2025-08-04 05:45  BUY    3354.33    3357.84     3.51    WIN     breakeven_exit     60.0
   7 2025-08-04 11:15  BUY    3358.75    3367.20    16.90    WIN        trailing_sl     50.0
   8 2025-08-04 18:00  BUY    3373.99    3375.99     2.00    WIN     breakeven_exit     50.0
   9 2025-08-05 01:15  BUY    3374.55    3376.55     2.00    WIN     breakeven_exit     50.0
  10 2025-08-05 06:15 SELL    3373.15    3371.15     2.00    WIN     breakeven_exit     50.0
  11 2025-08-05 11:15 SELL    3372.64    3358.18    28.92    WIN        take_profit     40.0
  12 2025-08-05 16:15 SELL    3370.13    3385.16   -15.03   LOSS          early_cut     40.0
  13 2025-08-06 01:15  BUY    3378.89    3384.73     5.84    WIN        take_profit     60.0
  14 2025-08-06 05:45 SELL    3376.13    3373.69     2.44    WIN     breakeven_exit     70.0
  15 2025-08-06 12:00 SELL    3365.87    3361.78     8.18    WIN     breakeven_exit     50.0
  16 2025-08-06 17:45  BUY    3379.20    3369.97   -18.46   LOSS          early_cut     40.0
  17 2025-08-06 23:30 SELL    3367.37    3372.20    -4.83   LOSS     trend_reversal     70.0
  18 2025-08-07 06:45  BUY    3379.68    3393.01    13.33    WIN     breakeven_exit     40.0
  19 2025-08-07 15:30  BUY    3384.87    3387.46     5.18    WIN     breakeven_exit     40.0
  20 2025-08-07 19:15  BUY    3389.57    3397.99     8.42    WIN        trailing_sl     80.0
  21 2025-08-08 03:00  BUY    3399.73    3384.21   -15.52   LOSS          early_cut     70.0
  22 2025-08-08 06:30 SELL    3395.56    3393.56     2.00    WIN     breakeven_exit     40.0
  23 2025-08-08 11:30  BUY    3398.75    3390.13   -17.24   LOSS          early_cut     60.0
  24 2025-08-08 18:00 SELL    3391.21    3383.67     7.54    WIN     breakeven_exit     40.0
  25 2025-08-11 03:15 SELL    3387.86    3375.73    12.13    WIN        trailing_sl     60.0
  26 2025-08-11 06:45 SELL    3378.04    3365.82    12.22    WIN        trailing_sl     70.0
  27 2025-08-11 14:00 SELL    3354.31    3352.05     4.52    WIN     breakeven_exit     40.0
  28 2025-08-11 19:00 SELL    3347.44    3345.44     4.00    WIN     breakeven_exit     80.0
  29 2025-08-11 23:00 SELL    3350.23    3345.07     5.16    WIN     breakeven_exit     80.0
  30 2025-08-12 05:30 SELL    3350.41    3347.72     2.69    WIN     breakeven_exit     50.0
  31 2025-08-12 12:30 SELL    3348.00    3348.37    -0.74   LOSS       peak_protect     40.0
  32 2025-08-12 18:00 SELL    3342.86    3346.63    -7.54   LOSS            timeout     60.0
  33 2025-08-13 02:30  BUY    3351.29    3351.03    -0.26   LOSS            timeout     90.0
  34 2025-08-13 12:45  BUY    3364.53    3357.49    -7.04   LOSS     trend_reversal     50.0
  35 2025-08-13 19:00  BUY    3359.13    3355.84    -3.29   LOSS            timeout     70.0
  36 2025-08-14 04:30  BUY    3366.68    3358.94    -7.74   LOSS            timeout     40.0
  37 2025-08-14 12:15 SELL    3356.14    3354.14     2.00    WIN        trailing_sl     40.0
  38 2025-08-14 19:30 SELL    3333.97    3340.37    -6.40   LOSS     trend_reversal     40.0
  39 2025-08-15 01:45 SELL    3333.14    3338.36    -5.22   LOSS     trend_reversal     50.0
  40 2025-08-15 07:00  BUY    3345.12    3340.26    -4.86   LOSS     trend_reversal     40.0
  41 2025-08-15 13:30 SELL    3338.02    3336.02     2.00    WIN     breakeven_exit     50.0
  42 2025-08-15 19:30 SELL    3338.39    3336.65     1.74    WIN      weekend_close     50.0
  43 2025-08-18 01:45 SELL    3334.21    3326.22     7.99    WIN        take_profit     40.0
  44 2025-08-18 05:45  BUY    3343.25    3354.36    11.11    WIN        trailing_sl     40.0
  45 2025-08-18 11:45 SELL    3348.46    3346.46     4.00    WIN     breakeven_exit     50.0
  46 2025-08-18 18:00 SELL    3334.46    3332.46     4.00    WIN     breakeven_exit     60.0
  47 2025-08-19 02:00 SELL    3333.33    3329.33     4.00    WIN        take_profit     40.0
  48 2025-08-19 06:45  BUY    3337.64    3334.65    -2.99   LOSS     trend_reversal     50.0
  49 2025-08-19 12:00  BUY    3337.29    3343.74    12.91    WIN        take_profit     60.0
  50 2025-08-19 18:45 SELL    3322.55    3320.55     4.00    WIN     breakeven_exit     60.0
  51 2025-08-19 23:00 SELL    3315.30    3313.30     2.00    WIN     breakeven_exit     60.0
  52 2025-08-20 07:00  BUY    3318.59    3322.23     3.64    WIN     breakeven_exit     70.0
  53 2025-08-20 13:00  BUY    3325.67    3332.91    14.49    WIN        take_profit     50.0
  54 2025-08-20 18:00  BUY    3342.67    3344.67     2.00    WIN     breakeven_exit     50.0
  55 2025-08-20 23:30  BUY    3348.48    3343.67    -4.81   LOSS     trend_reversal     60.0
  56 2025-08-21 05:45 SELL    3344.41    3338.91     5.50    WIN        take_profit     50.0
  57 2025-08-21 11:15 SELL    3339.80    3330.23     9.57    WIN        take_profit     40.0
  58 2025-08-21 20:45 SELL    3336.92    3338.79    -3.74   LOSS            timeout     50.0
