================================================================================
#16 SMC + RTM Quasimodo — Backtest Log
================================================================================
Period: 2025-08-01 to 2026-02-07
QM params: lookback=60, max_age=30, tolerance=0.4%, RR=1:2

QM patterns: 347 | QM+SMC: 20 | QM-only: 41 | Standard: 632
Trades: 693 | WR: 71.3% | Net: $961.18
PF: 1.26 | DD: 6.7% | Sharpe: 1.28
vs Baseline: $-488.68

--- TRADE LOG ---
   #       Entry Time  Dir      Entry       Exit   P/L($) Result        Exit Reason     Source
--------------------------------------------------------------------------------------------------------------
   1 2025-08-01 01:00 SELL    3291.19    3286.50     4.69    WIN     breakeven_exit        SMC
   2 2025-08-01 07:45  BUY    3292.01    3294.01     2.00    WIN     breakeven_exit        SMC
   3 2025-08-01 11:45 SELL    3294.16    3299.40   -10.48   LOSS     trend_reversal        SMC
   4 2025-08-01 17:00  BUY    3348.73    3341.05   -15.36   LOSS          early_cut        SMC
   5 2025-08-01 23:15  BUY    3360.24    3362.52     2.28    WIN      weekend_close        SMC
   6 2025-08-04 03:00  BUY    3356.04    3358.80     2.76    WIN            timeout        SMC
   7 2025-08-04 10:15  BUY    3353.70    3357.91     8.42    WIN        trailing_sl        SMC
   8 2025-08-04 15:00  BUY    3366.92    3380.26    26.68    WIN        trailing_sl        SMC
   9 2025-08-04 19:45  BUY    3370.82    3373.48     5.32    WIN     breakeven_exit        SMC
  10 2025-08-05 03:45  BUY    3379.62    3372.81    -6.81   LOSS     trend_reversal        SMC
  11 2025-08-05 09:00 SELL    3370.56    3368.56     2.00    WIN     breakeven_exit        SMC
  12 2025-08-05 12:30 SELL    3363.54    3361.54     4.00    WIN        trailing_sl     QM+SMC
  13 2025-08-05 15:30 SELL    3363.73    3379.75   -16.02   LOSS          early_cut        SMC
  14 2025-08-05 20:00  BUY    3381.00    3378.89    -2.11   LOSS            timeout        SMC
  15 2025-08-06 03:45  BUY    3383.18    3374.39    -8.79   LOSS     trend_reversal        SMC
  16 2025-08-06 09:15 SELL    3377.02    3373.04     3.98    WIN     breakeven_exit    QM-only
  17 2025-08-06 13:00 SELL    3362.77    3368.40    -5.63   LOSS     trend_reversal        SMC
  18 2025-08-06 18:30 SELL    3375.40    3372.54     2.86    WIN     breakeven_exit    QM-only
  19 2025-08-07 01:00 SELL    3371.55    3376.11    -4.56   LOSS     trend_reversal        SMC
  20 2025-08-07 06:30  BUY    3377.46    3393.01    15.55    WIN     breakeven_exit    QM-only
  21 2025-08-07 13:30  BUY    3377.23    3379.23     2.00    WIN     breakeven_exit    QM-only
  22 2025-08-07 17:00  BUY    3390.04    3385.38    -9.32   LOSS     trend_reversal        SMC
  23 2025-08-07 23:00  BUY    3399.91    3401.91     2.00    WIN     breakeven_exit        SMC
  24 2025-08-08 04:30 SELL    3382.91    3397.89   -14.98   LOSS     trend_reversal        SMC
  25 2025-08-08 09:45 SELL    3393.45    3391.45     2.00    WIN        trailing_sl        SMC
  26 2025-08-08 17:30 SELL    3386.66    3383.67     2.99    WIN     breakeven_exit        SMC
  27 2025-08-11 03:15 SELL    3387.86    3375.73    12.13    WIN        trailing_sl        SMC
  28 2025-08-11 06:45 SELL    3378.04    3365.82    12.22    WIN        trailing_sl        SMC
  29 2025-08-11 13:00 SELL    3359.69    3355.02     4.67    WIN     breakeven_exit        SMC
  30 2025-08-11 17:15 SELL    3351.87    3349.13     5.48    WIN     breakeven_exit        SMC
  31 2025-08-11 20:45 SELL    3357.46    3355.46     2.00    WIN     breakeven_exit        SMC
