================================================================================
XAUBOT AI — #17 Liquidity Sweep Backtest
Mode: FILTER | CV: relaxed (0.003) | Lookback: 30
================================================================================
Generated: 2026-02-07 15:13:05
Period: 2025-08-01 to 2026-02-07

--- SWEEP STATS ---
  BSL Sweeps Detected:    2577
  SSL Sweeps Detected:    1989
  Sweep-Confirmed Trades: 457
  Sweep-Blocked Trades:   202

--- PERFORMANCE ---
  Total Trades:    457
  Wins:            209
  Losses:          248
  Win Rate:        45.7%
  Net PnL:         $157.86
  Profit Factor:   1.45
  Max Drawdown:    0.6% ($31.79)
  Avg Win:         $2.42
  Avg Loss:        $1.41
  Expectancy:      $0.35
  Sharpe Ratio:    2.08

--- ENTRY SOURCE BREAKDOWN ---
  SWEEP+SMC   : 457 trades,  45.7% WR, $  157.86
  SMC         :   0 trades,   0.0% WR, $    0.00

--- EXIT REASONS ---
  timeout             :  205 ( 44.9%)
  max_loss            :   98 ( 21.4%)
  take_profit         :   88 ( 19.3%)
  weekend_close       :   19 (  4.2%)
  smart_tp            :   17 (  3.7%)
  market_signal       :   15 (  3.3%)
  peak_protect        :    7 (  1.5%)
  breakeven_exit      :    6 (  1.3%)
  trailing_sl         :    2 (  0.4%)

--- DIRECTION ---
  BUY: 267 trades, 50.2% WR, $113.25
  SELL: 190 trades, 39.5% WR, $44.61

--- TRADE LOG ---
   #       Entry Time  Dir      Entry       Exit   P/L($) Result        Exit Reason Sweep     Source
------------------------------------------------------------------------------------------------------------------------
   1 2025-08-01 01:00 SELL    3291.19    3291.67    -0.05   LOSS            timeout   BSL  SWEEP+SMC
   2 2025-08-01 08:15  BUY    3292.99    3310.15     1.72    WIN        take_profit   SSL  SWEEP+SMC
   3 2025-08-01 18:15  BUY    3349.39    3350.73     0.13    WIN      weekend_close   SSL  SWEEP+SMC
   4 2025-08-04 01:30  BUY    3359.84    3353.31    -0.65   LOSS            timeout   SSL  SWEEP+SMC
   5 2025-08-04 08:00  BUY    3359.69    3359.09    -0.06   LOSS            timeout   SSL  SWEEP+SMC
   6 2025-08-04 14:30  BUY    3368.14    3372.75     0.46    WIN            timeout   SSL  SWEEP+SMC
   7 2025-08-05 01:15  BUY    3374.55    3380.70     0.62    WIN        take_profit   SSL  SWEEP+SMC
   8 2025-08-05 06:15 SELL    3373.15    3374.09    -0.09   LOSS            timeout   BSL  SWEEP+SMC
   9 2025-08-05 12:45 SELL    3359.54    3375.41    -3.17   LOSS           max_loss   BSL  SWEEP+SMC
  10 2025-08-05 19:00  BUY    3386.88    3379.68    -0.72   LOSS            timeout   SSL  SWEEP+SMC
  11 2025-08-06 02:30  BUY    3382.50    3378.05    -0.44   LOSS           max_loss   SSL  SWEEP+SMC
  12 2025-08-06 07:00 SELL    3374.50    3358.43     1.61    WIN        take_profit   BSL  SWEEP+SMC
  13 2025-08-06 17:45  BUY    3379.20    3371.47    -0.77   LOSS            timeout   SSL  SWEEP+SMC
  14 2025-08-07 01:15 SELL    3371.13    3379.84    -0.87   LOSS           max_loss   BSL  SWEEP+SMC
  15 2025-08-07 07:00  BUY    3378.39    3396.01     1.76    WIN           smart_tp   SSL  SWEEP+SMC
  16 2025-08-07 14:15  BUY    3381.74    3389.64     0.79    WIN            timeout   SSL  SWEEP+SMC
  17 2025-08-08 01:45  BUY    3403.59    3387.09    -1.65   LOSS           max_loss   SSL  SWEEP+SMC
  18 2025-08-08 06:15 SELL    3388.60    3394.82    -0.62   LOSS            timeout   BSL  SWEEP+SMC
  19 2025-08-08 13:00  BUY    3396.93    3388.60    -0.83   LOSS           max_loss   SSL  SWEEP+SMC
  20 2025-08-08 17:30 SELL    3386.66    3401.79    -1.51   LOSS           max_loss   BSL  SWEEP+SMC
  21 2025-08-11 03:15 SELL    3387.86    3362.86     2.50    WIN        take_profit   BSL  SWEEP+SMC
  22 2025-08-11 12:30 SELL    3358.72    3349.07     0.96    WIN            timeout   BSL  SWEEP+SMC
  23 2025-08-11 23:00 SELL    3350.23    3356.31    -0.61   LOSS            timeout   BSL  SWEEP+SMC
  24 2025-08-12 06:45 SELL    3349.32    3357.26    -0.79   LOSS           max_loss   BSL  SWEEP+SMC
  25 2025-08-12 13:15 SELL    3349.35    3336.40     1.29    WIN        take_profit   BSL  SWEEP+SMC
  26 2025-08-12 17:00 SELL    3335.73    3357.89    -4.43   LOSS           max_loss   BSL  SWEEP+SMC
  27 2025-08-12 23:00 SELL    3346.63    3352.60    -0.60   LOSS           max_loss   BSL  SWEEP+SMC
  28 2025-08-13 03:45 SELL    3343.42    3353.51    -1.01   LOSS           max_loss   BSL  SWEEP+SMC
  29 2025-08-13 09:15  BUY    3354.92    3365.26     1.03    WIN        take_profit   SSL  SWEEP+SMC
  30 2025-08-13 15:00  BUY    3357.18    3365.92     0.87    WIN        take_profit   SSL  SWEEP+SMC
  31 2025-08-13 19:30  BUY    3357.28    3351.59    -0.57   LOSS           max_loss   SSL  SWEEP+SMC
  32 2025-08-13 23:45 SELL    3355.84    3360.80    -0.50   LOSS           max_loss   BSL  SWEEP+SMC
  33 2025-08-14 04:30  BUY    3366.68    3358.94    -0.77   LOSS            timeout   SSL  SWEEP+SMC
  34 2025-08-14 11:00  BUY    3344.47    3354.17     0.97    WIN        take_profit   SSL  SWEEP+SMC
  35 2025-08-14 14:30 SELL    3353.88    3344.26     0.96    WIN        take_profit   BSL  SWEEP+SMC
  36 2025-08-14 18:00 SELL    3336.84    3340.72    -0.39   LOSS            timeout   BSL  SWEEP+SMC
  37 2025-08-15 01:45 SELL    3333.14    3340.31    -0.72   LOSS            timeout   BSL  SWEEP+SMC
  38 2025-08-15 08:15  BUY    3343.23    3341.65    -0.16   LOSS            timeout   SSL  SWEEP+SMC
  39 2025-08-15 15:15 SELL    3337.36    3338.54    -0.12   LOSS            timeout   BSL  SWEEP+SMC
  40 2025-08-15 23:00 SELL    3337.93    3336.09     0.18    WIN      weekend_close   BSL  SWEEP+SMC
  41 2025-08-18 03:00 SELL    3334.71    3339.54    -0.48   LOSS           max_loss   BSL  SWEEP+SMC
  42 2025-08-18 05:45  BUY    3343.25    3348.46     0.52    WIN            timeout   SSL  SWEEP+SMC
  43 2025-08-18 14:15 SELL    3348.42    3341.71     1.34    WIN        take_profit   BSL  SWEEP+SMC
  44 2025-08-18 18:30 SELL    3334.98    3333.11     0.37    WIN            timeout   BSL  SWEEP+SMC
  45 2025-08-19 04:00  BUY    3331.27    3337.83     0.66    WIN        take_profit   SSL  SWEEP+SMC
  46 2025-08-19 08:30  BUY    3338.45    3341.18     0.27    WIN            timeout   SSL  SWEEP+SMC
  47 2025-08-19 17:00 SELL    3334.58    3318.69     3.18    WIN        take_profit   BSL  SWEEP+SMC
  48 2025-08-19 23:00 SELL    3315.30    3317.17    -0.19   LOSS            timeout   BSL  SWEEP+SMC
  49 2025-08-20 07:00  BUY    3318.59    3329.44     1.08    WIN        take_profit   SSL  SWEEP+SMC
  50 2025-08-20 16:45  BUY    3344.80    3344.66    -0.01   LOSS            timeout   SSL  SWEEP+SMC
  51 2025-08-20 23:30  BUY    3348.48    3343.93    -0.46   LOSS           max_loss   SSL  SWEEP+SMC
  52 2025-08-21 05:45 SELL    3344.41    3338.91     0.55    WIN        take_profit   BSL  SWEEP+SMC
  53 2025-08-21 09:45 SELL    3336.46    3341.35    -0.49   LOSS            timeout   BSL  SWEEP+SMC
  54 2025-08-21 18:00  BUY    3338.67    3338.64    -0.01   LOSS            timeout   SSL  SWEEP+SMC
  55 2025-08-22 02:15 SELL    3337.78    3331.75     0.60    WIN        take_profit   BSL  SWEEP+SMC
  56 2025-08-22 08:30 SELL    3330.04    3330.37    -0.03   LOSS            timeout   BSL  SWEEP+SMC
  57 2025-08-22 15:00 SELL    3325.60    3331.63    -1.21   LOSS           max_loss   BSL  SWEEP+SMC
  58 2025-08-22 19:00  BUY    3371.34    3372.08     0.07    WIN      weekend_close   SSL  SWEEP+SMC
  59 2025-08-25 01:15 SELL    3367.79    3365.47     0.23    WIN            timeout   BSL  SWEEP+SMC
  60 2025-08-25 09:45  BUY    3368.82    3365.85    -0.59   LOSS            timeout   SSL  SWEEP+SMC
  61 2025-08-25 16:15  BUY    3363.89    3369.32     1.09    WIN        take_profit   SSL  SWEEP+SMC
  62 2025-08-26 02:00 SELL    3358.40    3374.72    -1.63   LOSS           max_loss   BSL  SWEEP+SMC
  63 2025-08-26 06:00  BUY    3370.69    3376.86     0.62    WIN            timeout   SSL  SWEEP+SMC
  64 2025-08-26 14:30  BUY    3378.83    3381.76     0.59    WIN            timeout   SSL  SWEEP+SMC
  65 2025-08-26 23:00  BUY    3389.97    3386.09    -0.39   LOSS            timeout   SSL  SWEEP+SMC
  66 2025-08-27 06:45 SELL    3380.53    3381.39    -0.09   LOSS            timeout   BSL  SWEEP+SMC
  67 2025-08-27 13:15  BUY    3376.38    3382.57     0.62    WIN        take_profit   SSL  SWEEP+SMC
  68 2025-08-27 17:45  BUY    3386.40    3395.71     1.86    WIN            timeout   SSL  SWEEP+SMC
  69 2025-08-28 05:15 SELL    3386.74    3390.05    -0.33   LOSS            timeout   BSL  SWEEP+SMC
  70 2025-08-28 11:45  BUY    3400.58    3397.16    -0.68   LOSS            timeout   SSL  SWEEP+SMC
  71 2025-08-28 18:15  BUY    3406.26    3414.69     0.84    WIN            timeout   SSL  SWEEP+SMC
  72 2025-08-29 06:00  BUY    3409.96    3409.67    -0.03   LOSS            timeout   SSL  SWEEP+SMC
  73 2025-08-29 12:30 SELL    3408.01    3414.65    -1.33   LOSS           max_loss   BSL  SWEEP+SMC
  74 2025-08-29 18:15  BUY    3444.72    3445.57     0.09    WIN      market_signal   SSL  SWEEP+SMC
  75 2025-08-29 23:15  BUY    3449.91    3449.06    -0.08   LOSS      weekend_close   SSL  SWEEP+SMC
  76 2025-09-01 03:00  BUY    3443.41    3437.91    -0.55   LOSS           max_loss   SSL  SWEEP+SMC
  77 2025-09-01 07:00  BUY    3474.92    3474.29    -0.06   LOSS            timeout   SSL  SWEEP+SMC
  78 2025-09-01 14:30  BUY    3470.87    3480.93     1.01    WIN        take_profit   SSL  SWEEP+SMC
  79 2025-09-01 19:45  BUY    3477.20    3492.38     1.52    WIN        take_profit   SSL  SWEEP+SMC
  80 2025-09-02 07:15  BUY    3494.18    3477.01    -1.72   LOSS           max_loss   SSL  SWEEP+SMC
  81 2025-09-02 13:15 SELL    3480.05    3498.18    -1.81   LOSS           max_loss   BSL  SWEEP+SMC
  82 2025-09-02 19:30  BUY    3526.18    3538.85     1.27    WIN      market_signal   SSL  SWEEP+SMC
  83 2025-09-03 02:30  BUY    3526.37    3532.38     0.60    WIN            timeout   SSL  SWEEP+SMC
  84 2025-09-03 11:15  BUY    3540.91    3562.12     4.24    WIN        take_profit   SSL  SWEEP+SMC
  85 2025-09-03 20:00  BUY    3572.19    3560.05    -1.21   LOSS            timeout   SSL  SWEEP+SMC
  86 2025-09-04 03:30  BUY    3557.68    3532.26    -2.54   LOSS           max_loss   SSL  SWEEP+SMC
  87 2025-09-04 08:15 SELL    3531.34    3539.22    -0.79   LOSS            timeout   BSL  SWEEP+SMC
  88 2025-09-04 14:45  BUY    3545.34    3542.81    -0.25   LOSS            timeout   SSL  SWEEP+SMC
  89 2025-09-04 23:15  BUY    3549.61    3542.49    -0.71   LOSS           max_loss   SSL  SWEEP+SMC
  90 2025-09-05 03:30  BUY    3551.58    3550.87    -0.07   LOSS            timeout   SSL  SWEEP+SMC
  91 2025-09-05 12:15  BUY    3548.30    3556.47     0.82    WIN        take_profit   SSL  SWEEP+SMC
  92 2025-09-05 18:00  BUY    3584.15    3594.38     1.02    WIN      weekend_close   SSL  SWEEP+SMC
  93 2025-09-08 01:00 SELL    3590.25    3590.51    -0.03   LOSS            timeout   BSL  SWEEP+SMC
  94 2025-09-08 08:30 SELL    3587.29    3596.91    -0.96   LOSS           max_loss   BSL  SWEEP+SMC
  95 2025-09-08 12:00  BUY    3612.73    3634.67     2.19    WIN            timeout   SSL  SWEEP+SMC
  96 2025-09-08 23:00  BUY    3635.77    3629.97    -0.58   LOSS           max_loss   SSL  SWEEP+SMC
  97 2025-09-09 04:00  BUY    3639.63    3653.58     1.39    WIN           smart_tp   SSL  SWEEP+SMC
  98 2025-09-09 08:00  BUY    3654.79    3642.65    -1.21   LOSS           max_loss   SSL  SWEEP+SMC
  99 2025-09-09 11:30 SELL    3650.19    3652.62    -0.49   LOSS            timeout   BSL  SWEEP+SMC
 100 2025-09-09 18:30  BUY    3643.22    3632.75    -1.05   LOSS            timeout   SSL  SWEEP+SMC
