================================================================================
XAUBOT AI — #17 Liquidity Sweep Backtest
Mode: FILTER | CV: relaxed (0.003) | Lookback: 30
================================================================================
Generated: 2026-02-07 17:38:39
Period: 2025-08-01 to 2026-02-07

--- SWEEP STATS ---
  BSL Sweeps Detected:    2577
  SSL Sweeps Detected:    1989
  Sweep-Confirmed Trades: 649
  Sweep-Blocked Trades:   261

--- PERFORMANCE ---
  Total Trades:    649
  Wins:            462
  Losses:          187
  Win Rate:        71.2%
  Net PnL:         $1,251.66
  Profit Factor:   1.39
  Max Drawdown:    5.4% ($300.84)
  Avg Win:         $9.67
  Avg Loss:        $17.19
  Expectancy:      $1.93
  Sharpe Ratio:    1.83

--- ENTRY SOURCE BREAKDOWN ---
  SWEEP+SMC   : 649 trades,  71.2% WR, $1,251.66
  SMC         :   0 trades,   0.0% WR, $    0.00

--- EXIT REASONS ---
  breakeven_exit      :  228 ( 35.1%)
  trailing_sl         :  165 ( 25.4%)
  early_cut           :   93 ( 14.3%)
  trend_reversal      :   49 (  7.6%)
  take_profit         :   37 (  5.7%)
  timeout             :   20 (  3.1%)
  max_loss            :   15 (  2.3%)
  weekend_close       :   11 (  1.7%)
  smart_tp            :   11 (  1.7%)
  peak_protect        :   10 (  1.5%)
  market_signal       :   10 (  1.5%)

--- DIRECTION ---
  BUY: 383 trades, 71.5% WR, $672.84
  SELL: 266 trades, 70.7% WR, $578.81

--- TRADE LOG ---
   #       Entry Time  Dir      Entry       Exit   P/L($) Result        Exit Reason Sweep     Source
------------------------------------------------------------------------------------------------------------------------
   1 2025-08-01 01:00 SELL    3291.19    3286.50     4.69    WIN     breakeven_exit   BSL  SWEEP+SMC
   2 2025-08-01 07:45  BUY    3292.01    3294.01     2.00    WIN     breakeven_exit   SSL  SWEEP+SMC
   3 2025-08-01 11:45 SELL    3294.16    3299.40   -10.48   LOSS     trend_reversal   BSL  SWEEP+SMC
   4 2025-08-01 17:00  BUY    3348.73    3341.05   -15.36   LOSS          early_cut   SSL  SWEEP+SMC
   5 2025-08-04 01:30  BUY    3359.84    3347.46   -12.38   LOSS     trend_reversal   SSL  SWEEP+SMC
   6 2025-08-04 06:45  BUY    3360.11    3353.70    -6.41   LOSS     trend_reversal   SSL  SWEEP+SMC
   7 2025-08-04 12:45  BUY    3357.80    3367.19     9.39    WIN        take_profit   SSL  SWEEP+SMC
   8 2025-08-04 16:45  BUY    3383.26    3370.82   -12.44   LOSS     trend_reversal   SSL  SWEEP+SMC
   9 2025-08-05 01:15  BUY    3374.55    3376.55     2.00    WIN     breakeven_exit   SSL  SWEEP+SMC
  10 2025-08-05 05:15  BUY    3375.79    3368.74    -7.05   LOSS     trend_reversal   SSL  SWEEP+SMC
  11 2025-08-05 10:30 SELL    3373.29    3359.80    13.49    WIN        take_profit   BSL  SWEEP+SMC
  12 2025-08-05 15:15 SELL    3360.75    3376.58   -15.83   LOSS          early_cut   BSL  SWEEP+SMC
  13 2025-08-05 19:00  BUY    3386.88    3379.68    -7.20   LOSS            timeout   SSL  SWEEP+SMC
  14 2025-08-06 02:30  BUY    3382.50    3375.26    -7.24   LOSS     trend_reversal   SSL  SWEEP+SMC
  15 2025-08-06 07:45 SELL    3372.26    3363.43     8.84    WIN        take_profit   BSL  SWEEP+SMC
  16 2025-08-06 17:45  BUY    3379.20    3369.97    -9.23   LOSS     trend_reversal   SSL  SWEEP+SMC
  17 2025-08-06 23:30 SELL    3367.37    3372.20    -4.83   LOSS     trend_reversal   BSL  SWEEP+SMC
  18 2025-08-07 06:00  BUY    3377.73    3396.68    18.95    WIN        take_profit   SSL  SWEEP+SMC
  19 2025-08-07 14:15  BUY    3381.74    3383.74     2.00    WIN     breakeven_exit   SSL  SWEEP+SMC
  20 2025-08-07 18:15  BUY    3385.92    3387.92     4.00    WIN     breakeven_exit   SSL  SWEEP+SMC
  21 2025-08-07 23:00  BUY    3399.91    3401.91     2.00    WIN     breakeven_exit   SSL  SWEEP+SMC
  22 2025-08-08 04:30 SELL    3382.91    3397.89   -14.98   LOSS     trend_reversal   BSL  SWEEP+SMC
  23 2025-08-08 09:45 SELL    3393.45    3391.45     2.00    WIN        trailing_sl   BSL  SWEEP+SMC
  24 2025-08-08 17:30 SELL    3386.66    3383.67     2.99    WIN     breakeven_exit   BSL  SWEEP+SMC
  25 2025-08-11 03:15 SELL    3387.86    3375.73    12.13    WIN        trailing_sl   BSL  SWEEP+SMC
  26 2025-08-11 06:45 SELL    3378.04    3365.82    12.22    WIN        trailing_sl   BSL  SWEEP+SMC
  27 2025-08-11 13:00 SELL    3359.69    3355.02     4.67    WIN     breakeven_exit   BSL  SWEEP+SMC
  28 2025-08-11 17:15 SELL    3351.87    3349.13     5.48    WIN     breakeven_exit   BSL  SWEEP+SMC
  29 2025-08-11 20:45 SELL    3357.46    3355.46     2.00    WIN     breakeven_exit   BSL  SWEEP+SMC
  30 2025-08-11 23:45 SELL    3342.07    3354.69   -12.62   LOSS     trend_reversal   BSL  SWEEP+SMC
  31 2025-08-12 06:15 SELL    3350.95    3347.72     3.23    WIN     breakeven_exit   BSL  SWEEP+SMC
  32 2025-08-12 12:00 SELL    3350.89    3348.39     5.00    WIN     breakeven_exit   BSL  SWEEP+SMC
  33 2025-08-12 15:30 SELL    3349.40    3346.84     5.12    WIN     breakeven_exit   BSL  SWEEP+SMC
  34 2025-08-12 18:45 SELL    3349.66    3348.86     1.60    WIN       peak_protect   BSL  SWEEP+SMC
  35 2025-08-12 23:00 SELL    3346.63    3344.63     2.00    WIN     breakeven_exit   BSL  SWEEP+SMC
  36 2025-08-13 09:15  BUY    3354.92    3356.92     4.00    WIN     breakeven_exit   SSL  SWEEP+SMC
  37 2025-08-13 12:45  BUY    3364.53    3357.49   -14.08   LOSS     trend_reversal   SSL  SWEEP+SMC
  38 2025-08-13 19:00  BUY    3359.13    3350.91   -16.44   LOSS          early_cut   SSL  SWEEP+SMC
  39 2025-08-13 23:45 SELL    3355.84    3372.80   -16.96   LOSS          early_cut   BSL  SWEEP+SMC
  40 2025-08-14 05:45  BUY    3362.62    3358.82    -3.80   LOSS     trend_reversal   SSL  SWEEP+SMC
  41 2025-08-14 12:00  BUY    3354.74    3356.74     2.00    WIN     breakeven_exit   SSL  SWEEP+SMC
  42 2025-08-14 15:45 SELL    3350.30    3348.19     2.11    WIN     breakeven_exit   BSL  SWEEP+SMC
  43 2025-08-14 19:15 SELL    3332.05    3340.37    -8.32   LOSS     trend_reversal   BSL  SWEEP+SMC
  44 2025-08-15 01:45 SELL    3333.14    3338.36    -5.22   LOSS     trend_reversal   BSL  SWEEP+SMC
  45 2025-08-15 07:00  BUY    3345.12    3340.26    -4.86   LOSS     trend_reversal   SSL  SWEEP+SMC
  46 2025-08-15 12:15 SELL    3344.11    3340.58     3.53    WIN     breakeven_exit   BSL  SWEEP+SMC
  47 2025-08-15 17:00 SELL    3338.69    3336.69     2.00    WIN     breakeven_exit   BSL  SWEEP+SMC
  48 2025-08-15 23:00 SELL    3337.93    3336.09     1.84    WIN      weekend_close   BSL  SWEEP+SMC
  49 2025-08-18 03:00 SELL    3334.71    3346.57   -11.86   LOSS     trend_reversal   BSL  SWEEP+SMC
  50 2025-08-18 08:45  BUY    3349.37    3351.37     2.00    WIN     breakeven_exit   SSL  SWEEP+SMC
  51 2025-08-18 13:00 SELL    3349.85    3347.85     4.00    WIN     breakeven_exit   BSL  SWEEP+SMC
  52 2025-08-18 16:30 SELL    3339.84    3337.84     4.00    WIN     breakeven_exit   BSL  SWEEP+SMC
  53 2025-08-18 19:30 SELL    3332.47    3332.79    -0.32   LOSS            timeout   BSL  SWEEP+SMC
  54 2025-08-19 03:15  BUY    3337.15    3339.15     2.00    WIN     breakeven_exit   SSL  SWEEP+SMC
  55 2025-08-19 10:15  BUY    3339.64    3341.64     2.00    WIN     breakeven_exit   SSL  SWEEP+SMC
  56 2025-08-19 16:15 SELL    3331.57    3326.04    11.06    WIN        trailing_sl   BSL  SWEEP+SMC
  57 2025-08-19 23:00 SELL    3315.30    3313.30     2.00    WIN     breakeven_exit   BSL  SWEEP+SMC
  58 2025-08-20 07:00  BUY    3318.59    3322.23     3.64    WIN     breakeven_exit   SSL  SWEEP+SMC
  59 2025-08-20 12:15  BUY    3325.36    3342.94    35.16    WIN      market_signal   SSL  SWEEP+SMC
  60 2025-08-20 18:30  BUY    3340.37    3349.91     9.54    WIN            timeout   SSL  SWEEP+SMC
  61 2025-08-21 04:00 SELL    3343.86    3340.21     3.65    WIN     breakeven_exit   BSL  SWEEP+SMC
  62 2025-08-21 11:15 SELL    3339.80    3330.23     9.57    WIN        take_profit   BSL  SWEEP+SMC
  63 2025-08-21 16:00  BUY    3342.13    3344.13     4.00    WIN     breakeven_exit   SSL  SWEEP+SMC
  64 2025-08-21 20:45 SELL    3336.92    3338.79    -3.74   LOSS            timeout   BSL  SWEEP+SMC
  65 2025-08-22 04:15 SELL    3337.22    3335.22     2.00    WIN     breakeven_exit   BSL  SWEEP+SMC
  66 2025-08-22 07:30 SELL    3329.04    3327.04     2.00    WIN     breakeven_exit   BSL  SWEEP+SMC
  67 2025-08-22 12:15 SELL    3328.16    3326.16     4.00    WIN     breakeven_exit   BSL  SWEEP+SMC
  68 2025-08-22 18:15  BUY    3376.71    3372.08    -9.26   LOSS      weekend_close   SSL  SWEEP+SMC
  69 2025-08-25 01:15 SELL    3367.79    3365.79     2.00    WIN     breakeven_exit   BSL  SWEEP+SMC
  70 2025-08-25 06:30 SELL    3367.41    3365.41     2.00    WIN     breakeven_exit   BSL  SWEEP+SMC
  71 2025-08-25 11:30  BUY    3363.91    3365.91     4.00    WIN     breakeven_exit   SSL  SWEEP+SMC
  72 2025-08-25 15:45  BUY    3364.40    3369.72    10.63    WIN        take_profit   SSL  SWEEP+SMC
  73 2025-08-26 02:00 SELL    3358.40    3356.40     2.00    WIN     breakeven_exit   BSL  SWEEP+SMC
  74 2025-08-26 06:00  BUY    3370.69    3374.57     3.88    WIN     breakeven_exit   SSL  SWEEP+SMC
  75 2025-08-26 10:45  BUY    3376.58    3369.25   -14.66   LOSS     trend_reversal   SSL  SWEEP+SMC
  76 2025-08-26 16:00  BUY    3372.47    3374.47     2.00    WIN     breakeven_exit   SSL  SWEEP+SMC
  77 2025-08-26 19:15  BUY    3384.50    3389.94    10.88    WIN     breakeven_exit   SSL  SWEEP+SMC
  78 2025-08-27 03:45  BUY    3389.52    3382.33    -7.19   LOSS     trend_reversal   SSL  SWEEP+SMC
  79 2025-08-27 09:00 SELL    3379.27    3377.27     2.00    WIN     breakeven_exit   BSL  SWEEP+SMC
  80 2025-08-27 13:15  BUY    3376.38    3382.57    12.37    WIN        take_profit   SSL  SWEEP+SMC
  81 2025-08-27 17:45  BUY    3386.40    3396.42    20.04    WIN      market_signal   SSL  SWEEP+SMC
  82 2025-08-27 23:15  BUY    3395.70    3397.70     2.00    WIN     breakeven_exit   SSL  SWEEP+SMC
  83 2025-08-28 05:15 SELL    3386.74    3395.25    -8.51   LOSS            timeout   BSL  SWEEP+SMC
  84 2025-08-28 12:00  BUY    3400.81    3403.52     2.71    WIN     breakeven_exit   SSL  SWEEP+SMC
  85 2025-08-28 18:00  BUY    3411.50    3418.84    14.68    WIN        trailing_sl   SSL  SWEEP+SMC
  86 2025-08-29 04:45  BUY    3409.91    3411.91     2.00    WIN     breakeven_exit   SSL  SWEEP+SMC
  87 2025-08-29 08:15 SELL    3407.91    3413.79    -5.88   LOSS     trend_reversal   BSL  SWEEP+SMC
  88 2025-08-29 13:30 SELL    3407.00    3416.35   -18.70   LOSS          early_cut   BSL  SWEEP+SMC
  89 2025-08-29 18:15  BUY    3444.72    3446.72     2.00    WIN     breakeven_exit   SSL  SWEEP+SMC
  90 2025-08-29 23:15  BUY    3449.91    3449.06    -0.85   LOSS      weekend_close   SSL  SWEEP+SMC
  91 2025-09-01 03:00  BUY    3443.41    3451.66     8.25    WIN        take_profit   SSL  SWEEP+SMC
