================================================================================
XAUBOT AI — #18 Multi-Confirmation (count>=3)
================================================================================
Period: 2025-08-01 to 2026-02-07

--- FILTER STATS ---
  Blocked (insufficient): 768
  Confirmation distribution:
    2 confirms: 768 signals
    3 confirms: 303 signals
    4 confirms: 114 signals
    5 confirms: 2 signals

--- PERFORMANCE ---
  Total Trades:    419
  Win Rate:        45.3%
  Net PnL:         $189.02
  Profit Factor:   1.48
  Max Drawdown:    0.8%
  Sharpe Ratio:    1.87

--- PERFORMANCE BY CONFIRMATION COUNT ---
  3 confirms: 303 trades,  46.9% WR, $  172.77
  4 confirms: 114 trades,  41.2% WR, $   16.37
  5 confirms:   2 trades,  50.0% WR, $   -0.12

--- DIRECTION ---
  BUY: 232 trades, 51.7% WR, $130.26
  SELL: 187 trades, 37.4% WR, $58.75

--- EXIT REASONS ---
  timeout             :  181 ( 43.2%)
  max_loss            :   87 ( 20.8%)
  take_profit         :   79 ( 18.9%)
  smart_tp            :   19 (  4.5%)
  weekend_close       :   18 (  4.3%)
  market_signal       :   12 (  2.9%)
  trailing_sl         :    9 (  2.1%)
  breakeven_exit      :    8 (  1.9%)
  peak_protect        :    6 (  1.4%)

--- TRADE LOG ---
   #       Entry Time  Dir      Entry       Exit   P/L($) Result        Exit Reason Cfm
----------------------------------------------------------------------------------------------------
   1 2025-08-01 02:15 SELL    3292.18    3283.04     0.91    WIN        take_profit   3
   2 2025-08-01 07:15  BUY    3292.64    3287.84    -0.48   LOSS            timeout   4
   3 2025-08-01 14:00  BUY    3300.67    3323.91     4.65    WIN        take_profit   3
   4 2025-08-01 19:30  BUY    3342.42    3350.73     1.66    WIN      weekend_close   3
   5 2025-08-04 01:00  BUY    3360.28    3351.00    -0.93   LOSS            timeout   3
   6 2025-08-04 09:45  BUY    3362.44    3357.80    -0.93   LOSS            timeout   3
   7 2025-08-04 16:15  BUY    3375.45    3372.37    -0.31   LOSS            timeout   4
   8 2025-08-05 02:00  BUY    3378.68    3373.32    -0.54   LOSS           max_loss   3
   9 2025-08-05 11:15 SELL    3372.64    3358.18     1.45    WIN        take_profit   3
  10 2025-08-05 16:30  BUY    3376.58    3379.42     0.28    WIN            timeout   4
  11 2025-08-06 02:15  BUY    3381.67    3378.05    -0.36   LOSS           max_loss   4
  12 2025-08-06 07:00 SELL    3374.50    3358.43     1.61    WIN        take_profit   3
  13 2025-08-06 17:45  BUY    3379.20    3371.47    -1.55   LOSS            timeout   4
  14 2025-08-07 01:15 SELL    3371.13    3379.84    -0.87   LOSS           max_loss   3
  15 2025-08-07 08:30 SELL    3372.39    3383.81    -1.14   LOSS           max_loss   3
  16 2025-08-07 15:00  BUY    3376.18    3387.44     1.13    WIN        take_profit   3
  17 2025-08-07 20:15  BUY    3388.85    3391.59     0.27    WIN            timeout   3
  18 2025-08-08 06:00 SELL    3385.98    3396.08    -1.01   LOSS            timeout   3
  19 2025-08-08 13:00  BUY    3396.93    3388.60    -1.67   LOSS           max_loss   3
  20 2025-08-08 20:45 SELL    3380.67    3400.64    -2.00   LOSS           max_loss   3
  21 2025-08-11 03:15 SELL    3387.86    3362.86     2.50    WIN        take_profit   3
  22 2025-08-11 13:15 SELL    3360.82    3358.17     0.27    WIN            timeout   3
  23 2025-08-11 23:00 SELL    3350.23    3356.31    -0.61   LOSS            timeout   3
  24 2025-08-12 06:45 SELL    3349.32    3357.26    -0.79   LOSS           max_loss   3
  25 2025-08-12 15:30 SELL    3349.40    3336.53     1.29    WIN        take_profit   3
  26 2025-08-13 01:00  BUY    3351.10    3345.39    -0.57   LOSS           max_loss   3
  27 2025-08-13 09:15  BUY    3354.92    3365.26     2.07    WIN        take_profit   4
  28 2025-08-13 16:45  BUY    3364.93    3352.73    -2.44   LOSS           max_loss   3
  29 2025-08-14 02:00  BUY    3359.90    3372.80     1.29    WIN           smart_tp   3
  30 2025-08-14 07:15  BUY    3360.90    3350.07    -1.08   LOSS           max_loss   3
  31 2025-08-14 13:15 SELL    3357.38    3344.05     2.67    WIN        take_profit   3
  32 2025-08-14 18:00 SELL    3336.84    3340.72    -0.78   LOSS            timeout   3
  33 2025-08-15 07:00  BUY    3345.12    3341.47    -0.37   LOSS            timeout   3
  34 2025-08-15 13:30 SELL    3338.02    3341.89    -0.39   LOSS            timeout   4
  35 2025-08-15 20:00 SELL    3335.68    3336.65    -0.10   LOSS      weekend_close   3
  36 2025-08-18 01:00 SELL    3333.09    3323.42     0.97    WIN        take_profit   4
  37 2025-08-18 04:45  BUY    3346.66    3348.87     0.22    WIN            timeout   4
  38 2025-08-18 15:00 SELL    3346.88    3339.88     0.70    WIN        take_profit   3
  39 2025-08-18 20:45 SELL    3333.53    3334.31    -0.08   LOSS            timeout   3
  40 2025-08-19 04:15  BUY    3332.32    3337.80     0.55    WIN            timeout   3
  41 2025-08-19 14:45  BUY    3339.61    3334.31    -1.06   LOSS           max_loss   3
  42 2025-08-19 18:15 SELL    3324.04    3317.00     1.41    WIN            timeout   5
  43 2025-08-20 06:30  BUY    3317.81    3327.48     0.97    WIN        take_profit   3
  44 2025-08-20 16:00  BUY    3342.94    3347.79     0.97    WIN            timeout   3
  45 2025-08-21 01:30  BUY    3349.91    3343.93    -0.60   LOSS           max_loss   3
  46 2025-08-21 06:45 SELL    3339.81    3340.16    -0.03   LOSS            timeout   3
  47 2025-08-21 13:30 SELL    3330.27    3341.36    -1.11   LOSS           max_loss   3
  48 2025-08-21 18:00  BUY    3338.67    3338.64    -0.00   LOSS            timeout   3
  49 2025-08-22 02:15 SELL    3337.78    3331.75     0.60    WIN        take_profit   3
  50 2025-08-22 10:45 SELL    3327.34    3329.25    -0.19   LOSS            timeout   3
  51 2025-08-22 17:15  BUY    3365.80    3376.71     1.09    WIN      market_signal   4
  52 2025-08-22 23:00  BUY    3371.04    3371.67     0.06    WIN      weekend_close   3
  53 2025-08-25 03:45 SELL    3364.71    3365.89    -0.12   LOSS            timeout   3
  54 2025-08-25 10:15  BUY    3368.77    3363.00    -1.15   LOSS           max_loss   4
  55 2025-08-25 14:45  BUY    3370.50    3370.96     0.05    WIN            timeout   3
  56 2025-08-26 02:00 SELL    3358.40    3374.72    -1.63   LOSS           max_loss   3
  57 2025-08-26 06:45  BUY    3372.10    3371.92    -0.02   LOSS            timeout   3
  58 2025-08-26 15:15  BUY    3376.65    3390.20     1.35    WIN            timeout   3
  59 2025-08-27 04:15 SELL    3384.65    3374.84     0.98    WIN           smart_tp   4
  60 2025-08-27 10:00 SELL    3374.46    3376.75    -0.46   LOSS            timeout   3
  61 2025-08-27 17:00  BUY    3379.42    3388.00     1.72    WIN        take_profit   3
  62 2025-08-28 03:45 SELL    3391.91    3395.25    -0.33   LOSS            timeout   4
  63 2025-08-28 13:45  BUY    3396.91    3410.95     2.81    WIN        take_profit   3
  64 2025-08-28 19:30  BUY    3414.75    3415.14     0.08    WIN            timeout   4
  65 2025-08-29 05:15  BUY    3411.91    3411.38    -0.05   LOSS            timeout   3
  66 2025-08-29 11:45 SELL    3410.27    3404.66     1.12    WIN        take_profit   3
  67 2025-08-29 16:15  BUY    3417.40    3435.17     3.55    WIN           smart_tp   4
  68 2025-08-29 23:15  BUY    3449.91    3449.06    -0.08   LOSS      weekend_close   3
  69 2025-09-01 04:00 SELL    3439.33    3452.38    -1.31   LOSS           max_loss   4
  70 2025-09-01 10:30  BUY    3471.28    3470.87    -0.04   LOSS            timeout   3
  71 2025-09-01 17:00  BUY    3477.80    3476.56    -0.12   LOSS            timeout   4
  72 2025-09-02 03:00  BUY    3480.71    3490.48     0.98    WIN        take_profit   3
  73 2025-09-02 09:30 SELL    3485.60    3485.61    -0.00   LOSS            timeout   4
  74 2025-09-02 16:30 SELL    3489.36    3499.26    -0.99   LOSS           max_loss   3
  75 2025-09-03 03:30  BUY    3540.21    3537.30    -0.29   LOSS            timeout   4
  76 2025-09-03 10:00  BUY    3534.69    3546.57     1.19    WIN        take_profit   3
  77 2025-09-03 16:30  BUY    3551.63    3578.12     2.65    WIN           smart_tp   3
  78 2025-09-04 05:00 SELL    3542.08    3514.91     2.72    WIN      market_signal   4
  79 2025-09-04 11:00  BUY    3544.09    3544.41     0.06    WIN            timeout   4
  80 2025-09-04 20:45  BUY    3542.81    3540.67    -0.43   LOSS            timeout   3
  81 2025-09-05 04:15  BUY    3554.90    3550.87    -0.40   LOSS            timeout   3
  82 2025-09-05 15:30  BUY    3583.45    3594.38     1.09    WIN            timeout   3
  83 2025-09-08 01:00 SELL    3590.25    3590.51    -0.03   LOSS            timeout   3
  84 2025-09-08 08:30 SELL    3587.29    3596.91    -0.96   LOSS           max_loss   3
  85 2025-09-08 13:15  BUY    3618.37    3634.67     1.63    WIN            timeout   3
  86 2025-09-09 01:30 SELL    3630.39    3637.83    -0.74   LOSS           max_loss   4
  87 2025-09-09 06:00  BUY    3648.21    3646.86    -0.13   LOSS            timeout   3
  88 2025-09-09 13:45 SELL    3651.73    3658.76    -0.70   LOSS           max_loss   3
  89 2025-09-09 18:45 SELL    3645.47    3635.41     1.01    WIN            timeout   4
  90 2025-09-10 07:00  BUY    3641.06    3649.08     0.80    WIN            timeout   4
  91 2025-09-10 23:00 SELL    3641.16    3646.12    -0.50   LOSS            timeout   4
  92 2025-09-11 07:00 SELL    3633.64    3619.76     1.39    WIN            timeout   4
  93 2025-09-11 17:30  BUY    3626.78    3633.45     1.33    WIN            timeout   3
  94 2025-09-12 03:15 SELL    3631.25    3638.00    -0.68   LOSS           max_loss   4
  95 2025-09-12 06:30  BUY    3651.21    3648.27    -0.29   LOSS            timeout   3
  96 2025-09-12 13:15  BUY    3650.65    3649.72    -0.09   LOSS            timeout   3
  97 2025-09-12 20:15  BUY    3647.80    3648.75     0.09    WIN      weekend_close   3
  98 2025-09-15 01:45 SELL    3642.07    3629.16     1.29    WIN        take_profit   3
  99 2025-09-15 06:30  BUY    3644.82    3641.17    -0.37   LOSS            timeout   4
 100 2025-09-15 16:00  BUY    3649.51    3670.35     4.17    WIN        take_profit   4
 101 2025-09-15 23:00  BUY    3681.12    3680.02    -0.11   LOSS            timeout   3
 102 2025-09-16 07:00  BUY    3682.31    3693.92     1.16    WIN        take_profit   3
 103 2025-09-16 12:30  BUY    3696.42    3686.04    -2.08   LOSS           max_loss   3
 104 2025-09-16 18:30 SELL    3680.21    3689.13    -1.78   LOSS            timeout   4
 105 2025-09-17 02:00  BUY    3694.06    3678.80    -1.53   LOSS           max_loss   5
 106 2025-09-17 09:30 SELL    3671.49    3674.55    -0.31   LOSS            timeout   3
 107 2025-09-17 23:00 SELL    3658.81    3660.90    -0.21   LOSS            timeout   4
 108 2025-09-18 07:15 SELL    3657.82    3645.76     1.21    WIN        take_profit   3
 109 2025-09-18 12:15  BUY    3671.03    3653.75    -1.73   LOSS            timeout   3
 110 2025-09-18 18:45 SELL    3641.14    3646.68    -0.55   LOSS            timeout   3
 111 2025-09-19 02:15 SELL    3638.96    3647.11    -0.82   LOSS           max_loss   4
 112 2025-09-19 06:30  BUY    3655.38    3652.44    -0.29   LOSS            timeout   4
 113 2025-09-19 13:00  BUY    3658.39    3679.52     2.11    WIN            timeout   3
 114 2025-09-19 23:45  BUY    3684.58    3695.23     1.07    WIN            timeout   3
 115 2025-09-22 09:15  BUY    3706.06    3715.13     1.81    WIN            timeout   3
 116 2025-09-22 17:45  BUY    3725.74    3746.36     4.12    WIN        take_profit   3
 117 2025-09-22 23:15  BUY    3747.55    3743.36    -0.42   LOSS            timeout   3
 118 2025-09-23 10:45  BUY    3753.17    3774.17     4.20    WIN           smart_tp   3
 119 2025-09-23 17:15 SELL    3770.86    3778.60    -1.55   LOSS            timeout   3
 120 2025-09-23 23:45 SELL    3763.41    3764.42    -0.10   LOSS            timeout   3
 121 2025-09-24 09:00  BUY    3773.20    3764.89    -0.83   LOSS            timeout   3
 122 2025-09-24 15:30  BUY    3765.22    3758.93    -0.63   LOSS           max_loss   3
 123 2025-09-24 19:30 SELL    3738.41    3728.23     1.02    WIN      market_signal   3
 124 2025-09-25 03:00  BUY    3749.75    3732.28    -1.75   LOSS            timeout   3
 125 2025-09-25 10:45  BUY    3752.09    3741.44    -2.13   LOSS            timeout   3
 126 2025-09-25 23:15 SELL    3748.71    3744.93     0.38    WIN            timeout   3
 127 2025-09-26 10:00 SELL    3743.06    3753.10    -2.01   LOSS           max_loss   3
 128 2025-09-26 14:00 SELL    3745.99    3754.98    -1.80   LOSS           max_loss   3
 129 2025-09-26 18:00  BUY    3774.55    3778.76     0.42    WIN      weekend_close   3
 130 2025-09-29 01:15 SELL    3767.47    3783.10    -1.56   LOSS           max_loss   3
 131 2025-09-29 11:15  BUY    3811.40    3826.75     3.07    WIN            timeout   3
 132 2025-09-29 23:45  BUY    3832.65    3847.97     1.53    WIN        take_profit   3
 133 2025-09-30 11:15 SELL    3823.53    3801.51     4.40    WIN      market_signal   4
 134 2025-09-30 18:15 SELL    3834.67    3853.06    -3.68   LOSS            timeout   3
 135 2025-10-01 03:45  BUY    3860.44    3858.45    -0.20   LOSS            timeout   3
 136 2025-10-01 11:30  BUY    3891.66    3875.08    -1.66   LOSS            timeout   4
 137 2025-10-01 18:15 SELL    3859.49    3864.59    -0.51   LOSS            timeout   3
 138 2025-10-02 01:45 SELL    3861.94    3865.99    -0.40   LOSS            timeout   3
 139 2025-10-02 08:15 SELL    3869.28    3875.22    -0.59   LOSS           max_loss   3
 140 2025-10-02 17:45 SELL    3839.71    3850.75    -1.10   LOSS            timeout   4
 141 2025-10-03 01:15 SELL    3854.22    3862.26    -0.80   LOSS           max_loss   3
 142 2025-10-03 05:00 SELL    3855.87    3844.36     1.15    WIN        take_profit   3
 143 2025-10-03 10:30  BUY    3864.23    3859.89    -0.43   LOSS            timeout   3
 144 2025-10-03 17:00  BUY    3867.02    3885.59     1.86    WIN        take_profit   4
 145 2025-10-03 20:45  BUY    3881.84    3888.17     0.63    WIN      weekend_close   3
 146 2025-10-06 01:15  BUY    3893.88    3919.52     2.56    WIN        take_profit   3
 147 2025-10-06 05:15  BUY    3921.66    3939.72     1.81    WIN      market_signal   3
 148 2025-10-06 10:00  BUY    3934.58    3931.14    -0.69   LOSS            timeout   3
 149 2025-10-06 17:45  BUY    3954.81    3960.99     1.24    WIN            timeout   4
 150 2025-10-07 03:15  BUY    3973.92    3957.26    -1.67   LOSS           max_loss   3
 151 2025-10-07 06:30  BUY    3972.50    3955.74    -1.68   LOSS           max_loss   3
