================================================================================
XAUBOT AI — #18 Multi-Confirmation (count>=3)
================================================================================
Period: 2025-08-01 to 2026-02-07

--- FILTER STATS ---
  Blocked (insufficient): 1026
  Confirmation distribution:
    2 confirms: 1026 signals
    3 confirms: 403 signals
    4 confirms: 178 signals

--- PERFORMANCE ---
  Total Trades:    581
  Win Rate:        69.0%
  Net PnL:         $800.21
  Profit Factor:   1.22
  Max Drawdown:    6.6%
  Sharpe Ratio:    1.15

--- PERFORMANCE BY CONFIRMATION COUNT ---
  3 confirms: 403 trades,  70.5% WR, $  522.12
  4 confirms: 178 trades,  65.7% WR, $  278.09

--- DIRECTION ---
  BUY: 316 trades, 74.4% WR, $1,004.34
  SELL: 265 trades, 62.6% WR, $-204.13

--- EXIT REASONS ---
  breakeven_exit      :  188 ( 32.4%)
  trailing_sl         :  159 ( 27.4%)
  early_cut           :   93 ( 16.0%)
  trend_reversal      :   38 (  6.5%)
  max_loss            :   25 (  4.3%)
  take_profit         :   18 (  3.1%)
  smart_tp            :   15 (  2.6%)
  timeout             :   14 (  2.4%)
  weekend_close       :   13 (  2.2%)
  market_signal       :   11 (  1.9%)
  peak_protect        :    7 (  1.2%)

--- TRADE LOG ---
   #       Entry Time  Dir      Entry       Exit   P/L($) Result        Exit Reason Cfm
----------------------------------------------------------------------------------------------------
   1 2025-08-01 02:15 SELL    3292.18    3290.18     2.00    WIN     breakeven_exit   3
   2 2025-08-01 06:15  BUY    3292.47    3294.47     2.00    WIN     breakeven_exit   4
   3 2025-08-01 11:45 SELL    3294.16    3299.40   -10.48   LOSS     trend_reversal   3
   4 2025-08-01 17:00  BUY    3348.73    3341.05   -15.36   LOSS          early_cut   3
   5 2025-08-01 23:15  BUY    3360.24    3362.52     2.28    WIN      weekend_close   3
   6 2025-08-04 06:00  BUY    3355.68    3357.84     2.16    WIN     breakeven_exit   3
   7 2025-08-04 11:00  BUY    3356.24    3358.24     4.00    WIN     breakeven_exit   3
   8 2025-08-04 15:00  BUY    3366.92    3380.26    26.68    WIN        trailing_sl   4
   9 2025-08-05 02:00  BUY    3378.68    3375.79    -2.89   LOSS     trend_reversal   3
  10 2025-08-05 08:15 SELL    3369.20    3367.20     2.00    WIN     breakeven_exit   3
  11 2025-08-05 12:30 SELL    3363.54    3361.54     4.00    WIN        trailing_sl   4
  12 2025-08-05 16:30  BUY    3376.58    3383.13    13.10    WIN        trailing_sl   4
  13 2025-08-06 02:15  BUY    3381.67    3383.67     2.00    WIN     breakeven_exit   4
  14 2025-08-06 06:15 SELL    3376.86    3373.69     3.17    WIN     breakeven_exit   4
  15 2025-08-06 11:15 SELL    3366.61    3361.78     9.66    WIN     breakeven_exit   4
  16 2025-08-06 17:45  BUY    3379.20    3369.97   -18.46   LOSS          early_cut   4
  17 2025-08-06 23:30 SELL    3367.37    3372.20    -4.83   LOSS     trend_reversal   3
  18 2025-08-07 06:00  BUY    3377.73    3396.68    18.95    WIN        take_profit   3
  19 2025-08-07 15:00  BUY    3376.18    3387.44    22.51    WIN        take_profit   3
  20 2025-08-07 20:15  BUY    3388.85    3390.85     4.00    WIN     breakeven_exit   3
  21 2025-08-07 23:45  BUY    3395.44    3407.97    12.53    WIN        take_profit   4
  22 2025-08-08 04:30 SELL    3382.91    3397.89   -14.98   LOSS     trend_reversal   3
  23 2025-08-08 10:45  BUY    3401.93    3394.17   -15.52   LOSS          early_cut   4
  24 2025-08-08 14:15 SELL    3381.53    3398.66   -17.13   LOSS          early_cut   4
  25 2025-08-08 20:45 SELL    3380.67    3393.63   -12.96   LOSS            timeout   3
  26 2025-08-11 05:00 SELL    3373.22    3365.82     7.40    WIN        trailing_sl   3
  27 2025-08-11 13:15 SELL    3360.82    3355.02     5.80    WIN        trailing_sl   3
  28 2025-08-11 17:15 SELL    3351.87    3349.13     2.74    WIN     breakeven_exit   3
  29 2025-08-11 23:00 SELL    3350.23    3345.07     5.16    WIN     breakeven_exit   3
  30 2025-08-12 04:30 SELL    3349.99    3354.08    -4.09   LOSS     trend_reversal   3
  31 2025-08-12 10:15 SELL    3348.97    3346.97     4.00    WIN     breakeven_exit   4
  32 2025-08-12 15:30 SELL    3349.40    3346.84     5.12    WIN     breakeven_exit   3
  33 2025-08-12 18:45 SELL    3349.66    3348.86     1.60    WIN       peak_protect   4
  34 2025-08-13 01:00  BUY    3351.10    3343.42    -7.68   LOSS     trend_reversal   3
  35 2025-08-13 09:15  BUY    3354.92    3356.92     4.00    WIN     breakeven_exit   4
  36 2025-08-13 12:45  BUY    3364.53    3357.49   -14.08   LOSS     trend_reversal   4
  37 2025-08-13 19:00  BUY    3359.13    3350.91   -16.44   LOSS          early_cut   3
  38 2025-08-14 02:00  BUY    3359.90    3372.80    12.90    WIN      market_signal   3
  39 2025-08-14 07:15  BUY    3360.90    3352.29    -8.61   LOSS     trend_reversal   3
  40 2025-08-14 13:00 SELL    3358.06    3356.06     4.00    WIN     breakeven_exit   3
  41 2025-08-14 17:00 SELL    3338.17    3335.05     6.24    WIN     breakeven_exit   4
  42 2025-08-14 23:00 SELL    3334.95    3336.43    -1.48   LOSS            timeout   3
  43 2025-08-15 07:00  BUY    3345.12    3340.26    -4.86   LOSS     trend_reversal   3
  44 2025-08-15 12:15 SELL    3344.11    3340.58     3.53    WIN     breakeven_exit   3
  45 2025-08-15 17:00 SELL    3338.69    3336.69     4.00    WIN     breakeven_exit   3
  46 2025-08-15 23:00 SELL    3337.93    3336.09     1.84    WIN      weekend_close   3
  47 2025-08-18 03:00 SELL    3334.71    3346.57   -11.86   LOSS     trend_reversal   3
  48 2025-08-18 08:45  BUY    3349.37    3351.37     2.00    WIN     breakeven_exit   3
  49 2025-08-18 13:00 SELL    3349.85    3347.85     4.00    WIN     breakeven_exit   3
  50 2025-08-18 16:30 SELL    3339.84    3337.84     4.00    WIN     breakeven_exit   4
  51 2025-08-18 20:45 SELL    3333.53    3334.31    -1.56   LOSS            timeout   3
  52 2025-08-19 04:15  BUY    3332.32    3337.99     5.67    WIN        trailing_sl   3
  53 2025-08-19 10:45  BUY    3340.58    3342.58     4.00    WIN     breakeven_exit   3
  54 2025-08-19 16:00 SELL    3329.59    3326.04     7.10    WIN        trailing_sl   4
  55 2025-08-19 23:00 SELL    3315.30    3313.30     2.00    WIN     breakeven_exit   3
  56 2025-08-20 07:00  BUY    3318.59    3322.23     3.64    WIN     breakeven_exit   3
  57 2025-08-20 14:15  BUY    3330.71    3339.63    17.84    WIN      market_signal   3
  58 2025-08-20 19:45  BUY    3345.02    3347.63     5.22    WIN     breakeven_exit   3
  59 2025-08-21 04:30 SELL    3344.47    3342.47     2.00    WIN     breakeven_exit   3
  60 2025-08-21 08:15 SELL    3338.80    3336.80     2.00    WIN     breakeven_exit   3
  61 2025-08-21 13:30 SELL    3330.27    3341.35   -22.16   LOSS          early_cut   3
  62 2025-08-21 18:00  BUY    3338.67    3342.54     7.74    WIN     breakeven_exit   3
  63 2025-08-21 23:00 SELL    3338.32    3338.87    -0.55   LOSS            timeout   4
  64 2025-08-22 06:30 SELL    3333.95    3331.28     2.67    WIN     breakeven_exit   4
  65 2025-08-22 11:15 SELL    3329.05    3327.05     4.00    WIN     breakeven_exit   3
  66 2025-08-22 17:45  BUY    3373.74    3371.73    -4.02   LOSS       peak_protect   4
  67 2025-08-22 23:00  BUY    3371.04    3371.67     0.63    WIN      weekend_close   3
