Ticket,Entry Time,Exit Time,Direction,Entry Price,Exit Price,Profit USD,Profit Pips,Result,Exit Reason,Fuzzy Conf,Trajectory Pred,Peak Profit,Regime,Session
1000000,2025-10-01 07:30:00,2025-10-01 08:30:00,BUY,3858.74,3862.6,3.86,38.6,WIN,fuzzy_exit,1.000,0.00,6.86,ranging,London (Prime)
1000001,2025-10-01 12:15:00,2025-10-01 13:15:00,BUY,3885.93,3886.3,0.37,3.7,WIN,fuzzy_exit,1.000,0.00,2.91,ranging,London (Prime)
1000002,2025-10-02 01:15:00,2025-10-02 02:30:00,BUY,3859.89,3860.61,0.72,7.2,WIN,fuzzy_exit,1.000,0.00,5.67,ranging,Sydney-Tokyo (TEST MODE)
1000003,2025-10-03 06:15:00,2025-10-03 07:45:00,BUY,3839.79,3843.81,4.02,40.2,WIN,fuzzy_exit,0.900,0.00,5.55,ranging,Tokyo-London Transition
1000004,2025-10-03 12:00:00,2025-10-03 13:15:00,BUY,3860.56,3863.13,2.57,25.7,WIN,fuzzy_exit,1.000,0.00,4.67,ranging,London (Prime)
1000005,2025-10-03 20:45:00,2025-10-03 21:45:00,BUY,3881.84,3885.73,3.89,38.9,WIN,fuzzy_exit,1.000,0.00,6.33,ranging,Sydney-Tokyo (TEST MODE)
1000006,2025-10-06 04:45:00,2025-10-06 05:45:00,BUY,3917.78,3920.85,3.07,30.7,WIN,fuzzy_exit,1.000,0.00,6.01,ranging,Tokyo-London Transition
1000007,2025-10-06 07:30:00,2025-10-06 11:15:00,BUY,3939.72,3943.57,3.85,38.5,WIN,fuzzy_exit,1.000,7.35,7.35,ranging,London (Prime)
1000008,2025-10-06 13:00:00,2025-10-06 13:45:00,BUY,3938.51,3942.07,3.56,35.6,WIN,fuzzy_exit,1.000,0.00,8.05,ranging,NY Early
1000009,2025-10-06 15:45:00,2025-10-06 17:30:00,BUY,3933.92,3955.4440069962793,21.52,215.2,WIN,take_profit,0.000,0.00,21.52,ranging,Late NY (TEST MODE)
1000010,2025-10-06 18:45:00,2025-10-07 01:30:00,BUY,3962.3,3963.69,1.39,13.9,WIN,fuzzy_exit,1.000,10.67,10.67,ranging,Sydney-Tokyo (TEST MODE)
1000011,2025-10-07 06:15:00,2025-10-07 08:00:00,BUY,3963.27,3965.39,2.12,21.2,WIN,fuzzy_exit,1.000,0.00,12.42,ranging,Tokyo-London Transition
1000012,2025-10-07 11:15:00,2025-10-07 11:45:00,BUY,3950.43,3951.21,0.78,7.8,WIN,fuzzy_exit,0.800,0.00,2.00,ranging,London (Prime)
1000013,2025-10-07 19:15:00,2025-10-07 20:45:00,BUY,3969.23,3980.66,11.43,114.3,WIN,fuzzy_exit,1.000,0.00,16.92,ranging,Sydney-Tokyo (TEST MODE)
1000014,2025-10-08 07:00:00,2025-10-08 08:30:00,BUY,4019.49,4035.4820311973217,15.99,159.9,WIN,take_profit,0.000,0.00,15.99,ranging,London (Prime)
1000015,2025-10-08 12:30:00,2025-10-08 17:30:00,BUY,4040.21,4042.09,1.88,18.8,WIN,fuzzy_exit,1.000,4.34,8.87,ranging,London (Prime)
1000016,2025-10-08 21:15:00,2025-10-09 01:30:00,BUY,4048.26,4022.47,-25.79,-257.9,LOSS,max_loss,0.000,0.00,1.52,ranging,Sydney-Tokyo (TEST MODE)
1000017,2025-10-09 03:00:00,2025-10-09 03:45:00,BUY,4018.57,4022.92,4.35,43.5,WIN,fuzzy_exit,1.000,0.00,8.40,ranging,Tokyo-London Transition
1000018,2025-10-09 17:00:00,2025-10-09 19:30:00,BUY,4023.58,3986.23,-37.35,-373.5,LOSS,max_loss,0.000,0.00,1.50,ranging,Sydney-Tokyo (TEST MODE)
1000019,2025-10-10 01:00:00,2025-10-10 04:00:00,BUY,3968.42,3984.65,16.23,162.3,WIN,fuzzy_exit,1.000,22.36,24.13,ranging,Sydney-Tokyo (TEST MODE)
1000020,2025-10-10 06:30:00,2025-10-10 09:00:00,BUY,3964.45,3970.96,6.51,65.1,WIN,fuzzy_exit,1.000,0.00,10.16,ranging,Tokyo-London Transition
1000021,2025-10-10 10:45:00,2025-10-10 12:00:00,BUY,3971.91,3998.0013027940045,26.09,260.9,WIN,take_profit,0.000,0.00,26.09,ranging,London (Prime)
1000022,2025-10-10 14:45:00,2025-10-10 18:00:00,BUY,3986.9,4011.3853190703085,24.49,244.9,WIN,take_profit,0.000,0.00,24.49,ranging,NY Early
1000023,2025-10-13 01:15:00,2025-10-13 03:45:00,BUY,4039.82,4043.54,3.72,37.2,WIN,fuzzy_exit,1.000,0.00,17.12,ranging,Sydney-Tokyo (TEST MODE)
1000024,2025-10-13 05:00:00,2025-10-13 06:45:00,BUY,4049.68,4051.88,2.20,22.0,WIN,fuzzy_exit,1.000,0.00,4.95,ranging,Tokyo-London Transition
1000025,2025-10-13 08:00:00,2025-10-13 08:45:00,BUY,4062.85,4063.34,0.49,4.9,WIN,fuzzy_exit,1.000,0.00,12.49,ranging,London (Prime)
1000026,2025-10-13 12:15:00,2025-10-13 14:30:00,BUY,4071.44,4077.04,5.60,56.0,WIN,fuzzy_exit,1.000,0.00,10.34,ranging,London (Prime)
1000027,2025-10-13 18:45:00,2025-10-13 19:30:00,BUY,4104.75,4105.85,1.10,11.0,WIN,fuzzy_exit,0.800,0.00,10.79,ranging,Sydney-Tokyo (TEST MODE)
1000028,2025-10-13 20:45:00,2025-10-14 01:15:00,BUY,4103.43,4108.75,5.32,53.2,WIN,fuzzy_exit,1.000,9.23,9.23,ranging,Sydney-Tokyo (TEST MODE)
1000029,2025-10-14 04:00:00,2025-10-14 05:45:00,BUY,4140.28,4145.7,5.42,54.2,WIN,fuzzy_exit,0.900,0.00,6.90,ranging,Tokyo-London Transition
1000030,2025-10-14 08:00:00,2025-10-14 08:30:00,BUY,4176.47,4119.66,-56.81,-568.1,LOSS,max_loss,0.000,0.00,2.54,ranging,London (Prime)
1000031,2025-10-14 15:30:00,2025-10-14 16:15:00,BUY,4109.42,4110.12,0.70,7.0,WIN,fuzzy_exit,1.000,0.00,3.35,ranging,Late NY (TEST MODE)
1000032,2025-10-15 01:00:00,2025-10-15 02:45:00,BUY,4160.4,4161.29,0.89,8.9,WIN,fuzzy_exit,1.000,0.00,4.73,ranging,Sydney-Tokyo (TEST MODE)
1000033,2025-10-15 06:00:00,2025-10-15 07:00:00,BUY,4183.38,4184.89,1.51,15.1,WIN,fuzzy_exit,1.000,0.00,3.37,ranging,Tokyo-London Transition
1000034,2025-10-15 08:15:00,2025-10-15 11:15:00,BUY,4192.56,4217.854199373147,25.29,252.9,WIN,take_profit,0.000,0.00,25.29,ranging,London (Prime)
1000035,2025-10-15 12:30:00,2025-10-15 14:30:00,BUY,4192.6,4198.01,5.41,54.1,WIN,fuzzy_exit,1.000,0.00,9.89,ranging,London (Prime)
1000036,2025-10-15 15:45:00,2025-10-15 16:45:00,BUY,4190.66,4192.18,1.52,15.2,WIN,fuzzy_exit,1.000,0.00,4.68,ranging,Late NY (TEST MODE)
1000037,2025-10-16 02:30:00,2025-10-16 03:45:00,BUY,4207.97,4210.36,2.39,23.9,WIN,fuzzy_exit,1.000,0.00,14.94,ranging,Sydney-Tokyo (TEST MODE)
1000038,2025-10-16 05:30:00,2025-10-16 06:00:00,BUY,4235.88,4238.19,2.31,23.1,WIN,fuzzy_exit,0.800,0.00,3.61,ranging,Tokyo-London Transition
